genus	Run01_soil_barcode01	Run01_soil_barcode02	Run01_soil_barcode03	Run01_soil_barcode04	Run01_soil_barcode05	Run01_soil_barcode06	Run01_soil_barcode07	Run01_soil_barcode08	Run01_soil_barcode09	Run01_soil_barcode10	Run01_soil_barcode11	Run01_soil_barcode12	Run01_soil_barcode13	Run01_soil_barcode14	Run01_soil_barcode15	Run01_soil_barcode16	Run01_soil_barcode17	Run01_soil_barcode18	Run01_soil_barcode19	Run01_soil_barcode20	Run01_soil_barcode21	Run01_soil_barcode22	Run01_soil_barcode23	Run01_soil_barcode24	Run02_soil_barcode01	Run02_soil_barcode02	Run02_soil_barcode03	Run02_soil_barcode04	Run02_soil_barcode05	Run02_soil_barcode06	Run02_soil_barcode07	Run02_soil_barcode08	Run02_soil_barcode09	Run02_soil_barcode10	Run02_soil_barcode11	Run02_soil_barcode12	Run02_soil_barcode13	Run02_soil_barcode14	Run02_soil_barcode15	Run02_soil_barcode16	Run02_soil_barcode17	Run02_soil_barcode18	Run02_soil_barcode19	Run02_soil_barcode20	Run02_soil_barcode21	Run02_soil_barcode22	Run03_swab_barcode01	Run03_swab_barcode02	Run03_swab_barcode03	Run03_swab_barcode04	Run03_swab_barcode05	Run03_swab_barcode06	Run03_swab_barcode07	Run03_swab_barcode08	Run03_swab_barcode09	Run03_swab_barcode10	Run03_swab_barcode11	Run03_swab_barcode12	Run03_swab_barcode13	Run03_swab_barcode14	Run03_swab_barcode15	Run03_swab_barcode16	Run03_swab_barcode17	Run03_swab_barcode18	Run03_swab_barcode19	Run03_swab_barcode20	Run03_swab_barcode21	Run03_swab_barcode22	Run03_swab_barcode23	Run03_swab_barcode24	Run04_swab_barcode01	Run04_swab_barcode02	Run04_swab_barcode03	Run04_swab_barcode04	Run04_swab_barcode05	Run04_swab_barcode06	Run04_swab_barcode07	Run04_swab_barcode08	Run04_swab_barcode09	Run04_swab_barcode10	Run04_swab_barcode11	Run04_swab_barcode12	Run04_swab_barcode13	Run04_swab_barcode14	Run04_swab_barcode15	Run04_swab_barcode16	Run04_swab_barcode17	Run04_swab_barcode18	Run04_swab_barcode19	Run04_swab_barcode20	Run04_swab_barcode21	Run04_swab_barcode22	Run04_swab_barcode23	Run05_fecal_barcode01	Run05_fecal_barcode02	Run05_fecal_barcode03	Run05_fecal_barcode04	Run05_fecal_barcode05	Run05_fecal_barcode06	Run05_fecal_barcode07	Run05_fecal_barcode08	Run05_fecal_barcode09	Run05_fecal_barcode10	Run05_fecal_barcode11	Run05_fecal_barcode12	Run05_fecal_barcode13	Run05_fecal_barcode14	Run05_fecal_barcode15	Run05_fecal_barcode16	Run05_fecal_barcode17	Run05_fecal_barcode18	Run05_fecal_barcode19	Run05_fecal_barcode20	Run06_fecal_barcode01	Run06_fecal_barcode02	Run06_fecal_barcode03	Run06_fecal_barcode04	Run06_fecal_barcode05	Run06_fecal_barcode06	Run06_fecal_barcode07	Run06_fecal_barcode08	Run06_fecal_barcode09	Run06_fecal_barcode10	Run06_fecal_barcode11	Run06_fecal_barcode17	Run06_fecal_barcode18	Run06_fecal_barcode19	Run06_fecal_barcode20	Run06_fecal_barcode21	Run06_fecal_barcode22	Run06_fecal_barcode23	Run06_fecal_barcode24	Run07_fecal_barcode09	Run07_fecal_barcode10	Run07_fecal_barcode11	Run07_fecal_barcode12	Run07_fecal_barcode13	Run07_fecal_barcode14	Run07_fecal_barcode15	Run07_fecal_barcode16	Run07_fecal_barcode17	Run07_fecal_barcode18	Run07_fecal_barcode19	Run07_fecal_barcode20	Run07_fecal_barcode21	Run07_fecal_barcode22	Run07_fecal_barcode23	Run07_fecal_barcode24
Agathobaculum																																																																																							10.0							25.166958090981378	42.38847969783262		13.934125496945098	53.95695572815022	43.1222912667269	24.116993656666033		60.128077307688685	23.709061800107516	12.01156045292346		15.022807796196554			43.549471315084894					17.49513544779973	12.999038499122687	88.17136286351595	81.88608287978772	35.67970712993044	34.75201931787864			24.99023306491238	19.98885122529661	25.253597194522392		13.0		11.783021878465778	16.11740868377304	25.881478883026077	43.6926152456072	153.0		74.35065035656478	119.32535216813368	68.31261367355232	117.52823572001759	33.93265075179827	99.59922056886823	106.76920001118212	28.98865213075563	60.550143694928636	92.40784097198494	116.97449580712947		51.2815248795889	154.49272606622583	131.45593303959393
Aggregatibacter																																																1.0										52.31811141550787					10.0			558.000004095283					215.83944144293477	11.0	15.999999999999998	19.999978941336803			31.000000000000004		15.0		120.99999818385638				19.0	36.0																						12.0																																					725.8038337153604			
Aggregicoccus						17.925213236009263									20.317398910856127																									33.377511990819244				15.989908899294072	15.578502120202813																																																																																																							
Agrobacterium		30.19122899018128	33.92148135520165	57.03803932375875		79.23079191283432	65.6088019104359	18.016683030932807		45.0	410.4058918832608			66.19829392786137	62.57017690365339	66.02713647694982		161.9697629748592	17.769798363199275		136.2768387130404		244.42316567848124	118.66972943541786	51.868499461197295	39.52737232518561	64.05294338043053	311.53609106987125	40.09335282128096	31.92707272139235		39.3041726923928	28.8007137286548	49.742692139353764	52.619546449763575	234.13643929395005	238.03829954931086		27.16439583476968	17.897452975362267				184.7410137428328	2273.671841483128	1.0	2.000144079263627			25.0				2.0																	13.0	14.000000000000002	23.0	72.0		17.00000000000621	18.0		12.0		12931.773911055583	147.79517883904498	33.999980054837835	34.0		44.99999999999999	19.0	13.000972262064176	17.0		13.000000168663444	22.0																56.05886011291694																																			20.729543151426206					
Agrococcus																																																																																	12.0																																																																			
Agromyces											35.999999999999964	70.00000065980367																									20.999999999929546																																																																																																															
Ahniella	20.999999998487468	41.635738174583246				18.973460966192352			37.82051122809136					14.99782216530952					21.583644434801677						18.99999804897268	108.99999992904623	37.006251659943814	16.35260832819634			42.0	22.026754916647466	16.000003619046687	83.73549136622631	46.0195804148514	35.229015548676635	47.94848772440368			30.01804373509715		16.86927673965026	16.999999356022833	13.999986123128636																																																																																																								
Akkermansia																																																																																																							13.0																92.00000000000013												14.0					73.00000000024754												16.0
Albibacterium		14.999431471252711																																																																																																																																																		
Albidovulum																																																																																													24.52211944376284																																																							
Alcaligenes																																																			17.0																																																																																																	
Algisphaera				11.074490730634198															11.000564718119456								19.77170557312502	15.009704970705409								18.06296403169469	11.036920412607882					14.386312018954316																																																																																																										
Algoriphagus	89.14340244645204	23.000000002293945	49.0	62.09646575948737		401.168224394553	70.00000001712598	24.00000013354137	88.05623549328129	30.0	142.95296267832174	46.00000000546827	27.0	73.74725865377887	28.000000000043567	48.06545111794117	19.0	74.5465159159736	150.9229510314628	53.99970676277067	22.0	326.1063413845593	114.04226676567731	134.73361547959007	28.652873013277127	50.000455561738946	15.0	52.99994454564503	43.90214351890505			25.941925342720875		45.09746160019015	38.82640685028096	23.999228895873376	93.01162951814601	51.00000000000001	26.00033140788397	35.013364340531055	83.10727477872592	213.55956648362783	133.9879812765586	23.02067843964657																																																																																																								
Alienimonas		13.000000000000147		18.0								21.858553877258373		17.000000099361102	23.986274289989144												23.00027216542419	13.998848235659732						21.002529313150553	12.032046536783488	13.995278701700311	108.46151204947049	17.00000011564949		15.982151105870006																																																																																																												
Aliicoccus																																																																							23.0						1.0			11.0																																																																				
Aliidiomarina		37.0																																																																																																																																																		
Aliidongia		20.91420594425512		37.35408657032536		17.8854725723616	44.26103775321603	17.81068440979377	28.89225704238201		16.635922179583805	23.92878909930177			39.80097656400741	19.43685472087667		12.023293916138421	18.671715541297147	49.59992404378688	15.192540810792005	18.924841221053114	16.283322353530757		34.35073570973743			54.02149204392831						17.189181059044603	13.39628947826272			26.592391767401036	24.20931352334759	23.40746696904673		45.69650238217079	17.641654095742844																																																																																											89.75789170814994			32.0						37.12338232166178					273.5542513766299
Aliifodinibius																																																																							14.0																																																																													
Aliihoeflea																													35.06844600713592												21.0																																																														24.000004948062486																																													
Alishewanella																																			29.999999313386144												1.0												13.000000000000002															42.0									11.0				22.0																																																													
Alistipes																																																																																															48.0		56.383301336716436						33.0		76.00000001910084	37.0															11.000000000000002											34.0				135.410209819218	49.541961520629066	32.96970362736639		86.00408573010935	14.0					15.999999999482247		
