sample_id,step0_raw_reads,step1_filtered_reads,step1_retention_pct,step2_trimmed_reads,step2_retention_pct,step5_otu97_reads,step6b_bacteria_only_reads,step6b_retention_pct,step8a_min10_reads,step8a_retention_pct,step9_final_reads,overall_retention_pct
Run05_fecal_barcode04,21574,19099,88.5,19098,100.0,19098,9440,49.4,5240,55.5,5240,24.3
Run05_fecal_barcode05,24331,22193,91.2,22191,100.0,22191,11025,49.7,7800,70.7,7800,32.1
Run05_fecal_barcode06,23977,21412,89.3,21411,100.0,21411,9984,46.6,6227,62.4,6227,26.0
Run05_fecal_barcode07,26227,24124,92.0,24123,100.0,24123,11771,48.8,7936,67.4,7936,30.3
Run05_fecal_barcode08,27402,25166,91.8,25166,100.0,25166,12504,49.7,10291,82.3,10291,37.6
Run05_fecal_barcode09,0,19746,NA,19746,100.0,19746,9851,49.9,4669,47.4,4669,NA
Run05_fecal_barcode10,22419,20280,90.5,20279,100.0,20279,9834,48.5,5948,60.5,5948,26.5
Run05_fecal_barcode11,20705,18291,88.3,18291,100.0,18291,9030,49.4,5173,57.3,5173,25.0
Run05_fecal_barcode12,24449,22465,91.9,22464,100.0,22464,11603,51.7,7670,66.1,7670,31.4
Run05_fecal_barcode13,22042,19796,89.8,19796,100.0,19796,9507,48.0,5654,59.5,5654,25.7
Run05_fecal_barcode14,20152,17594,87.3,17594,100.0,17594,8733,49.6,5726,65.6,5726,28.4
Run05_fecal_barcode15,30714,29165,95.0,29163,100.0,29163,14321,49.1,12044,84.1,12044,39.2
Run05_fecal_barcode16,33116,31451,95.0,31451,100.0,31451,15741,50.0,12837,81.6,12837,38.8
Run05_fecal_barcode17,24367,21943,90.1,21943,100.0,21943,11062,50.4,7590,68.6,7590,31.1
Run05_fecal_barcode18,26801,24643,91.9,24643,100.0,24643,12092,49.1,8953,74.0,8953,33.4
Run05_fecal_barcode19,33901,32537,96.0,32537,100.0,32537,15713,48.3,13026,82.9,13026,38.4
Run05_fecal_barcode20,13,10,76.9,10,100.0,10,3,30.0,3,100.0,3,23.1
Run06_fecal_barcode01,16948,14698,86.7,14698,100.0,14698,7345,50.0,3667,49.9,3667,21.6
Run06_fecal_barcode02,19400,17532,90.4,17532,100.0,17532,8518,48.6,5948,69.8,5948,30.7
Run06_fecal_barcode03,23975,22234,92.7,22234,100.0,22234,10996,49.5,6695,60.9,6695,27.9
Run06_fecal_barcode04,18895,16761,88.7,16761,100.0,16761,8191,48.9,3634,44.4,3634,19.2
Run06_fecal_barcode05,22780,21241,93.2,21241,100.0,21241,10672,50.2,7586,71.1,7586,33.3
Run06_fecal_barcode06,26156,24346,93.1,24346,100.0,24346,11611,47.7,8249,71.0,8249,31.5
Run06_fecal_barcode07,0,22622,NA,22622,100.0,22622,11201,49.5,7584,67.7,7584,NA
Run06_fecal_barcode08,20012,17932,89.6,17932,100.0,17932,8846,49.3,4894,55.3,4894,24.5
Run06_fecal_barcode09,20899,18687,89.4,18686,100.0,18686,9326,49.9,5496,58.9,5496,26.3
Run06_fecal_barcode10,17185,15387,89.5,15387,100.0,15387,7696,50.0,4665,60.6,4665,27.1
Run06_fecal_barcode11,19452,17642,90.7,17642,100.0,17642,8664,49.1,4760,54.9,4760,24.5
Run06_fecal_barcode17,20895,19136,91.6,19136,100.0,19136,9679,50.6,6712,69.3,6712,32.1
Run06_fecal_barcode18,20733,19359,93.4,19359,100.0,19359,9556,49.4,6642,69.5,6642,32.0
Run06_fecal_barcode19,27559,25423,92.2,25422,100.0,25422,12112,47.6,7130,58.9,7130,25.9
Run06_fecal_barcode20,17166,15469,90.1,15469,100.0,15469,7573,49.0,4431,58.5,4431,25.8
Run06_fecal_barcode21,18232,16098,88.3,16097,100.0,16097,8074,50.2,4974,61.6,4974,27.3
Run06_fecal_barcode22,22203,20363,91.7,20363,100.0,20363,9558,46.9,5936,62.1,5936,26.7
Run06_fecal_barcode23,19589,17389,88.8,17389,100.0,17389,8545,49.1,3724,43.6,3724,19.0
Run06_fecal_barcode24,28412,26864,94.6,26864,100.0,26864,13082,48.7,11093,84.8,11093,39.0
Run07_fecal_barcode09,72855,67226,92.3,67225,100.0,67225,33261,49.5,23401,70.4,23401,32.1
Run07_fecal_barcode10,60390,54130,89.6,54127,100.0,54127,27860,51.5,15710,56.4,15710,26.0
Run07_fecal_barcode11,61408,54915,89.4,54915,100.0,54915,28144,51.3,13848,49.2,13848,22.6
Run07_fecal_barcode12,65947,58934,89.4,58933,100.0,58933,30875,52.4,11696,37.9,11696,17.7
Run07_fecal_barcode13,68921,62204,90.3,62204,100.0,62204,30585,49.2,16713,54.6,16713,24.2
Run07_fecal_barcode14,62941,54771,87.0,54770,100.0,54770,26935,49.2,11047,41.0,11047,17.6
Run07_fecal_barcode15,69993,60362,86.2,60361,100.0,60361,29586,49.0,13539,45.8,13539,19.3
Run07_fecal_barcode16,76319,67436,88.4,67435,100.0,67435,33249,49.3,12890,38.8,12890,16.9
Run07_fecal_barcode17,75661,67695,89.5,67693,100.0,67693,33987,50.2,15901,46.8,15901,21.0
Run07_fecal_barcode18,58331,52014,89.2,52014,100.0,52014,25884,49.8,9620,37.2,9620,16.5
Run07_fecal_barcode19,70742,63397,89.6,63397,100.0,63397,30860,48.7,15691,50.8,15691,22.2
Run07_fecal_barcode20,72295,64610,89.4,64609,100.0,64609,31724,49.1,13552,42.7,13552,18.7
Run07_fecal_barcode21,78941,70018,88.7,70018,100.0,70018,34948,49.9,21364,61.1,21364,27.1
Run07_fecal_barcode22,92729,82318,88.8,82317,100.0,82317,39620,48.1,12805,32.3,12805,13.8
Run07_fecal_barcode23,85133,76431,89.8,76431,100.0,76431,37596,49.2,16470,43.8,16470,19.3
Run07_fecal_barcode24,86590,76829,88.7,76826,100.0,76826,38457,50.1,13199,34.3,13199,15.2
