sample_id,sample_type,step0_raw,step1_filtered,step1_pct,step2_trimmed,step2_pct,step5_otu97,step5_pct,silva_filtered,silva_pct,gg2_filtered,gg2_pct,emu_classified,emu_classified_pct,emu_unclassified,emu_total_mapped_pct
Run03_swab_barcode22,Swab,663157,627232,94.6,627232,100.0,627232,100.0,309299,49.3,311124,49.6,625873,94.4,1356,94.6
Run03_swab_barcode23,Swab,78065,75282,96.4,75282,100.0,75282,100.0,37229,49.5,54099,71.9,74201,95.1,1080,96.4
Run03_swab_barcode24,Swab,7,7,100.0,7,100.0,7,100.0,5,71.4,7,100.0,5,71.4,2,100.0
Run04_swab_barcode01,Swab,136388,132281,97.0,132277,100.0,132277,100.0,66332,50.1,125349,94.8,122272,89.7,9998,97.0
Run04_swab_barcode02,Swab,23059,22420,97.2,22420,100.0,22420,100.0,10882,48.5,17075,76.2,19606,85.0,2806,97.2
Run04_swab_barcode03,Swab,319638,310436,97.1,310434,100.0,310434,100.0,152499,49.1,304427,98.1,305045,95.4,5388,97.1
Run04_swab_barcode04,Swab,6804,6597,97.0,6597,100.0,6597,100.0,3196,48.4,5241,79.4,4462,65.6,2124,96.8
Run04_swab_barcode05,Swab,3617,3510,97.0,3510,100.0,3510,100.0,1713,48.8,3056,87.1,2820,78.0,689,97.0
Run04_swab_barcode06,Swab,24898,24275,97.5,24275,100.0,24275,100.0,12076,49.7,20301,83.6,20527,82.4,3733,97.4
Run04_swab_barcode07,Swab,779,758,97.3,758,100.0,758,100.0,362,47.8,606,79.9,731,93.8,26,97.2
Run04_swab_barcode08,Swab,12490,12124,97.1,12124,100.0,12124,100.0,5967,49.2,10277,84.8,10781,86.3,1325,96.9
Run04_swab_barcode09,Swab,10868,10552,97.1,10552,100.0,10552,100.0,5140,48.7,9489,89.9,8991,82.7,1545,96.9
Run04_swab_barcode10,Swab,0,4907,NA,4907,100.0,4907,100.0,2579,52.6,3267,66.6,3845,NA,1049,NA
Run04_swab_barcode11,Swab,153567,149359,97.3,149359,100.0,149359,100.0,31232,20.9,93999,62.9,145226,94.6,4129,97.3
Run04_swab_barcode12,Swab,10212,9890,96.8,9890,100.0,9890,100.0,4272,43.2,7994,80.8,7353,72.0,2527,96.7
Run04_swab_barcode13,Swab,271452,264145,97.3,264145,100.0,264145,100.0,135562,51.3,259163,98.1,256560,94.5,7501,97.3
Run04_swab_barcode14,Swab,0,12673,NA,12673,100.0,12673,100.0,6095,48.1,9343,73.7,10739,NA,1891,NA
Run04_swab_barcode15,Swab,13061,12688,97.1,12688,100.0,12688,100.0,6600,52.0,10802,85.1,10571,80.9,2112,97.1
Run04_swab_barcode16,Swab,10655,10425,97.8,10425,100.0,10425,100.0,5405,51.8,9354,89.7,8651,81.2,1773,97.8
Run04_swab_barcode17,Swab,26777,26127,97.6,26127,100.0,26127,100.0,13000,49.8,24323,93.1,23989,89.6,2137,97.6
Run04_swab_barcode18,Swab,33648,32833,97.6,32833,100.0,32833,100.0,16621,50.6,30764,93.7,30396,90.3,2432,97.6
Run04_swab_barcode19,Swab,13887,13554,97.6,13554,100.0,13554,100.0,6734,49.7,12179,89.9,12312,88.7,1234,97.5
Run04_swab_barcode20,Swab,4350,4238,97.4,4238,100.0,4238,100.0,2128,50.2,3582,84.5,3245,74.6,991,97.4
Run04_swab_barcode21,Swab,61537,59734,97.1,59734,100.0,59734,100.0,30924,51.8,58745,98.3,57572,93.6,2097,97.0
Run04_swab_barcode22,Swab,30880,30102,97.5,30102,100.0,30102,100.0,15175,50.4,28376,94.3,27577,89.3,2525,97.5
